Production in industry - monthly data (2010 = 100)
Classification of economic activities - NACE Rev.2: Manufacture of dairy products
Seasonal adjustment: Gross data
http:datamarket.com/data/set/1aq1/production-in-industry-monthly-data-2010-100#!ds=1aq1!yye=1t:yyf=4:yyg=7.b.t.w.f.o.l.3&display=line

Detailed information
Dataset title 	Production in industry - monthly data (2010 = 100)
Last updated 	13 Feb 2014, 04:15
Provider 	Eurostat   (website)
Source URL 	http:appsso.eurostat.ec.europa.eu/nui/show.do?dataset=sts_inpr_m&lang=en
Units 	
Granularity 	Month: Jan 1980 - Dec 2013
Language 	English
License 	Default open license
License summary 	
This data release is licenced as follows: You may copy and redistribute the data. You may make derivative works from the data. You may use the data for commercial purposes. You may not sublicence the data when redistributing it. You may not redistribute the data under a different license. Source attribution on any use of this data: Must refer source.
dairy	month
86.4	1991.01
82.4	1991.02
87.0	1991.03
93.5	1991.04
92.7	1991.05
93.8	1991.06
95.2	1991.07
86.3	1991.08
81.3	1991.09
82.0	1991.10
77.4	1991.11
71.9	1991.12
84.1	1992.01
82.0	1992.02
88.2	1992.03
93.9	1992.04
91.4	1992.05
91.0	1992.06
98.3	1992.07
83.3	1992.08
82.1	1992.09
79.2	1992.10
75.3	1992.11
76.3	1992.12
84.3	1993.01
79.9	1993.02
92.5	1993.03
94.8	1993.04
93.1	1993.05
99.7	1993.06
92.3	1993.07
81.6	1993.08
79.7	1993.09
76.1	1993.10
73.6	1993.11
72.5	1993.12
81.4	1994.01
78.5	1994.02
92.7	1994.03
89.8	1994.04
91.8	1994.05
91.4	1994.06
89.1	1994.07
86.6	1994.08
83.1	1994.09
78.7	1994.10
76.6	1994.11
73.8	1994.12
94.2	1995.01
91.6	1995.02
104.3	1995.03
97.8	1995.04
107.8	1995.05
101.0	1995.06
96.1	1995.07
93.9	1995.08
87.4	1995.09
87.5	1995.10
86.2	1995.11
79.3	1995.12
92.5	1996.01
92.2	1996.02
98.8	1996.03
103.6	1996.04
105.2	1996.05
98.8	1996.06
106.8	1996.07
94.4	1996.08
89.6	1996.09
88.7	1996.10
85.6	1996.11
82.1	1996.12
94.6	1997.01
87.8	1997.02
91.8	1997.03
100.2	1997.04
99.3	1997.05
97.8	1997.06
100.5	1997.07
88.2	1997.08
89.8	1997.09
87.9	1997.10
84.1	1997.11
85.7	1997.12
92.6	1998.01
88.7	1998.02
96.2	1998.03
99.5	1998.04
98.7	1998.05
100.9	1998.06
99.1	1998.07
89.8	1998.08
88.8	1998.09
89.5	1998.10
86.1	1998.11
83.5	1998.12
92.8	1999.01
87.2	1999.02
103.1	1999.03
99.3	1999.04
98.1	1999.05
101.2	1999.06
98.7	1999.07
91.8	1999.08
91.9	1999.09
90.9	1999.10
91.8	1999.11
88.2	1999.12
92.7	2000.01
95.4	2000.02
102.3	2000.03
101.0	2000.04
108.0	2000.05
101.3	2000.06
100.9	2000.07
97.3	2000.08
91.2	2000.09
91.5	2000.10
92.1	2000.11
84.3	2000.12
97.2	2001.01
91.3	2001.02
101.6	2001.03
99.1	2001.04
112.1	2001.05
97.1	2001.06
103.2	2001.07
101.6	2001.08
94.0	2001.09
92.5	2001.10
90.5	2001.11
81.0	2001.12
93.0	2002.01
89.3	2002.02
95.1	2002.03
99.6	2002.04
100.1	2002.05
95.7	2002.06
99.1	2002.07
92.9	2002.08
88.9	2002.09
92.7	2002.10
87.7	2002.11
84.5	2002.12
96.9	2003.01
91.5	2003.02
99.8	2003.03
105.5	2003.04
