"tovar_usluga,""period"",""id_indicator"",""territory"",""territory_type"",""territory.ccube.0"",""territory.ccube.1"",""territory.ccube.2"",""territory.ccube.3"",""territory.ccube.4"",""territory.ccube.5"",""territory.ccube.6"",""territory.ccube.7"",""value"""
"1102,""31 Jan 2017"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""241.26"""
"1102,""28 Feb 2017"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""243.72"""
"1102,""31 Mar 2017"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""244.64"""
"1102,""30 Apr 2017"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""245.88"""
"1102,""31 May 2017"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""246.8"""
"1102,""30 Jun 2017"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""247.61"""
"1102,""31 Oct 2017"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""247.94"""
"1102,""30 Sep 2017"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""247.95"""
"1102,""31 Aug 2017"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""248.56"""
"1102,""31 Jul 2017"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""248.63"""
"1102,""31 Jan 2018"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""248.64"""
"1102,""30 Nov 2017"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""249.03"""
"1102,""31 Dec 2017"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""249.33"""
"1102,""28 Feb 2018"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""249.94"""
"1102,""30 Sep 2018"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""250.51"""
"1102,""31 Jul 2018"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""250.63"""
"1102,""31 Aug 2018"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""251.04"""
"1102,""30 Apr 2018"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""251.09"""
"1102,""31 Mar 2018"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""251.17"""
"1102,""31 May 2018"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""251.34"""
"1102,""30 Jun 2018"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""251.93"""
"1102,""31 Oct 2018"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""252.92"""
"1102,""30 Nov 2018"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""254.18"""
"1102,""31 Dec 2018"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""256.43"""
