Климатическая норма для средней температуры января (°С) 
и среднемесячная начисленная заработная плата работников организаций (тыс. руб.)
по регионам России в 2019 году 
reg	temp	wage
BEL	-4	34.615
BRY	-3.8	29.853
VLA	-7.3	33.076
VOR	-4.9	33.69
IVA	-5.9	27.553
KLU	-5.2	41.442
KOS	-5.6	31.421
KRS	-3.9	32.709
LIP	-6.7	34.312
MOS	-4.8	55.555
ORL	-4.2	29.683
RYA	-7.3	34.488
SMO	-4.5	31.269
TAM	-7.4	28.697
TVE	-4.4	33.524
TUL	-6.9	38.151
YAR	-3.3	36.016
MOW	-4.8	94.294
KR	-9.1	42.964
KO	-14.9	53.416
NEN	-13.5	88.027
ARK	-9.3	49.435
VLG	-5.3	39.116
KGD	-0.4	35.637
LEN	-4.8	46.387
MUR	-11.1	63.715
NGR	-4.7	32.174
PSK	-5.2	29.441
SPE	-4.8	65.872
AD	6.2	30.192
KL	3	28.617
KDA	6.2	36.133
AST	-0.4	36.093
VGG	-5.2	33.371
ROS	0.2	33.757
DA	3.8	26.835
IN	2.2	27.41
KB	3.2	27.466
KC	2.1	26.955
SE	3.8	28.751
CE	3.5	27.757
STA	3.5	31.836
BA	-9.5	36.465
ME	-6.8	30.152
MO	-9.3	28.826
TA	-9.4	37.418
UD	-7.7	34.052
CU	-8.5	29.671
PER	-8.2	39.21
KIR	-6.8	30.213
NIZ	-6.9	35.212
ORE	-11.8	32.883
PNZ	-9.3	30.765
SAM	-10.4	36.431
SAR	-10.1	30.717
ULY	-11.5	30.677
KGN	-12.2	30.632
SVE	-8.9	41.11
KHM	-15	75.087
YAN	-18.3	101.012
TYU	-11.2	48.613
CHE	-14.3	37.433
AL	-18.7	33.387
TY	-27.4	39.673
KK	-14	40.548
ALT	-14.4	27.962
KYA	-20.3	49.932
IRK	-14	46.387
KEM	-13.1	41.77
NVS	-14	39.076
OMS	-13.3	35.368
TOM	-12.7	45.526
BU	-19.7	39.115
SA	-32	73.402
ZAB	-18.1	43.896
KAM	-11.4	80.448
PRI	-6.9	46.867
KHA	-16.2	50.213
AMU	-18.7	47.234
MAG	-27.3	94.856
SAK	-8.3	87.418
YEV	-16.2	42.4
CHU	-25.7	107.107
