<TICKER>,<PER>,<DATE>,<TIME>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB_TOM,D,20110111,000000,30.73,30.54,30.5675,3509658000
USDRUB_TOM,D,20110112,000000,30.4949,30.2326,30.247,4260593000
USDRUB_TOM,D,20110113,000000,30.1451,30.0275,30.03,3663493000
USDRUB_TOM,D,20110114,000000,30.09,29.9225,30.0475,4221302000
USDRUB_TOM,D,20110117,000000,30.0925,29.9441,29.9751,3176127000
USDRUB_TOM,D,20110118,000000,29.978,29.8555,29.9,2705122000
USDRUB_TOM,D,20110119,000000,29.865,29.7626,29.795,2863256000
USDRUB_TOM,D,20110120,000000,30.015,29.8025,29.98,4069811000
USDRUB_TOM,D,20110121,000000,30.0551,29.91,29.9351,3220814000
USDRUB_TOM,D,20110124,000000,30.05,29.8025,29.825,2098243000
USDRUB_TOM,D,20110125,000000,29.95,29.75,29.8025,3147547000
USDRUB_TOM,D,20110126,000000,29.815,29.7025,29.735,2906287000
USDRUB_TOM,D,20110127,000000,29.7275,29.5733,29.595,3100464000
USDRUB_TOM,D,20110128,000000,29.7497,29.5,29.7026,2241920000
USDRUB_TOM,D,20110131,000000,29.8775,29.755,29.775,3119389000
USDRUB_TOM,D,20110201,000000,29.7201,29.59,29.615,2820936000
USDRUB_TOM,D,20110202,000000,29.5,29.3941,29.4525,3327599000
USDRUB_TOM,D,20110203,000000,29.4392,29.265,29.375,5062691000
USDRUB_TOM,D,20110204,000000,29.4774,29.325,29.415,4083291000
USDRUB_TOM,D,20110207,000000,29.4075,29.316,29.3499,2997126000
USDRUB_TOM,D,20110208,000000,29.3149,29.225,29.2775,3607368000
USDRUB_TOM,D,20110209,000000,29.3699,29.235,29.33,3652396000
USDRUB_TOM,D,20110210,000000,29.3875,29.2802,29.355,3917439000
USDRUB_TOM,D,20110211,000000,29.37,29.26,29.3325,3723412000
USDRUB_TOM,D,20110214,000000,29.3101,29.18,29.29,3079941000
USDRUB_TOM,D,20110215,000000,29.339,29.245,29.295,2479684000
USDRUB_TOM,D,20110216,000000,29.325,29.2585,29.32,2555416000
USDRUB_TOM,D,20110217,000000,29.2802,29.21,29.275,2112966000
USDRUB_TOM,D,20110218,000000,29.2679,29.1439,29.1774,2896087000
USDRUB_TOM,D,20110221,000000,29.1855,29.1125,29.1725,2153642000
USDRUB_TOM,D,20110222,000000,29.3235,29.2223,29.268,2870535000
USDRUB_TOM,D,20110224,000000,29.2375,29.0025,29.0101,4676100000
USDRUB_TOM,D,20110225,000000,29.0499,28.9,28.94,3176341000
USDRUB_TOM,D,20110228,000000,28.95,28.7399,28.815,2659096000
USDRUB_TOM,D,20110301,000000,28.7998,28.69,28.705,4028954000
USDRUB_TOM,D,20110302,000000,28.7389,28.3926,28.4,5056167000
USDRUB_TOM,D,20110303,000000,28.355,28.1325,28.185,6409778000
USDRUB_TOM,D,20110304,000000,28.2522,28.1105,28.205,3013905000
USDRUB_TOM,D,20110305,000000,28.2474,28.1201,28.2225,873130000
USDRUB_TOM,D,20110309,000000,28.3925,28.2301,28.3775,3513761000
USDRUB_TOM,D,20110310,000000,28.6999,28.39,28.55,4498744000
USDRUB_TOM,D,20110311,000000,28.8,28.5701,28.7351,4130224000
USDRUB_TOM,D,20110314,000000,28.6999,28.5101,28.5375,3673491000
USDRUB_TOM,D,20110315,000000,28.96,28.6688,28.835,5914489000
USDRUB_TOM,D,20110316,000000,28.7625,28.57,28.6707,3620787000
USDRUB_TOM,D,20110317,000000,28.7657,28.57,28.6582,3473184000
USDRUB_TOM,D,20110318,000000,28.505,28.43,28.48,3530672000
USDRUB_TOM,D,20110321,000000,28.385,28.2697,28.315,2954518000
USDRUB_TOM,D,20110322,000000,28.2599,28.12,28.244,4026858000
USDRUB_TOM,D,20110323,000000,28.37,28.22,28.3475,3482204000
USDRUB_TOM,D,20110324,000000,28.46,28.3101,28.3325,3165220000
USDRUB_TOM,D,20110325,000000,28.3955,28.18,28.305,3585367000
USDRUB_TOM,D,20110328,000000,28.4395,28.3439,28.3899,3168379000
USDRUB_TOM,D,20110329,000000,28.4339,28.3196,28.4075,3829763000
USDRUB_TOM,D,20110330,000000,28.61,28.39,28.5595,4967359000
USDRUB_TOM,D,20110331,000000,28.57,28.3336,28.4324,3883615000
USDRUB_TOM,D,20110401,000000,28.4399,28.3254,28.405,3550345000
USDRUB_TOM,D,20110404,000000,28.32,28.1511,28.2924,2693309000
USDRUB_TOM,D,20110405,000000,28.3834,28.2851,28.3451,2001038000
USDRUB_TOM,D,20110406,000000,28.2499,28.18,28.2425,2684893000
USDRUB_TOM,D,20110407,000000,28.3049,28.1989,28.2525,2480539000
USDRUB_TOM,D,20110408,000000,28.1684,28.024,28.024,3175898000
USDRUB_TOM,D,20110411,000000,28.07,27.94,28.0475,2460117000
USDRUB_TOM,D,20110412,000000,28.165,27.985,28.0598,3083083000
USDRUB_TOM,D,20110413,000000,28.175,28.065,28.1246,3554727000
USDRUB_TOM,D,20110414,000000,28.31,28.1596,28.275,4018667000
USDRUB_TOM,D,20110415,000000,28.257,28.105,28.16,3619991000
USDRUB_TOM,D,20110418,000000,28.315,28.12,28.29,3987577000
USDRUB_TOM,D,20110419,000000,28.5075,28.2801,28.3325,3974472000
USDRUB_TOM,D,20110420,000000,28.2,28.0545,28.0725,4304895000
USDRUB_TOM,D,20110421,000000,27.99,27.8375,27.9399,3654879000
USDRUB_TOM,D,20110422,000000,28.03,27.92,28.02,2040541000
USDRUB_TOM,D,20110425,000000,28.025,27.801,27.851,3044316000
USDRUB_TOM,D,20110426,000000,27.965,27.765,27.7947,5064294000
USDRUB_TOM,D,20110427,000000,27.7865,27.6717,27.7145,4399681000
USDRUB_TOM,D,20110428,000000,27.5775,27.4501,27.531,4222560000
USDRUB_TOM,D,20110429,000000,27.5574,27.2451,27.3575,6295585000
USDRUB_TOM,D,20110503,000000,27.41,27.2976,27.36,3015130000
