Title:	Ice Cream Production for United States
Series ID:	M0174BUSM411NNBR
Source:	National Bureau of Economic Research
Release:	NBER Macrohistory Database (Not a Press Release)
Seasonal Adjustment:	Not Seasonally Adjusted
Frequency:	Monthly
Units:	Millions Of Gallons
Date Range:	1918-01-01 to 1940-12-01
Last Updated:	2012-08-16 11:01 AM CDT
Notes:	Series Is Presented Here As Two Variables--(1)--Original Data,
	1918-1940 (2)--Original Data, 1937-1942. These Data Are For Factory
	Production Only. Source: United States Department Of Agriculture,
	"Production And Consumption Of Manufactured Dairy Products, "
	(Technical Bulletin No.722, April 1940) P.71 And Direct From Bureau Of
	Agricultural Economics.
	
	This NBER data series m01074b appears on the NBER website in Chapter 1
	at http://www.nber.org/databases/macrohistory/contents/chapter01.html.
	
	NBER Indicator: m01074b
	
DATE	VALUE
1918-01-01	2.93
1918-02-01	3.22
1918-03-01	6.20
1918-04-01	8.30
1918-05-01	15.22
1918-06-01	19.64
1918-07-01	22.93
1918-08-01	25.53
1918-09-01	12.62
1918-10-01	8.75
1918-11-01	5.98
1918-12-01	4.97
1919-01-01	4.74
1919-02-01	4.53
1919-03-01	6.90
1919-04-01	9.55
1919-05-01	14.53
1919-06-01	21.58
1919-07-01	25.29
1919-08-01	21.12
1919-09-01	15.27
1919-10-01	9.53
1919-11-01	6.19
1919-12-01	4.87
1920-01-01	5.01
1920-02-01	5.60
1920-03-01	8.16
1920-04-01	10.74
1920-05-01	17.42
1920-06-01	23.87
1920-07-01	26.75
1920-08-01	23.76
1920-09-01	17.41
1920-10-01	10.62
1920-11-01	5.83
1920-12-01	5.16
1921-01-01	5.31
1921-02-01	5.56
1921-03-01	9.00
1921-04-01	11.61
1921-05-01	17.68
1921-06-01	24.30
1921-07-01	29.21
1921-08-01	20.90
1921-09-01	16.97
1921-10-01	8.25
1921-11-01	5.86
1921-12-01	5.03
1922-01-01	5.29
1922-02-01	6.30
1922-03-01	8.33
1922-04-01	11.57
1922-05-01	19.96
1922-06-01	25.65
1922-07-01	27.50
1922-08-01	25.35
1922-09-01	18.78
1922-10-01	10.78
1922-11-01	7.27
1922-12-01	6.16
1923-01-01	6.42
1923-02-01	5.97
1923-03-01	9.09
1923-04-01	13.19
1923-05-01	20.87
1923-06-01	30.81
1923-07-01	33.04
1923-08-01	27.54
1923-09-01	18.71
1923-10-01	13.50
1923-11-01	7.95
1923-12-01	7.52
1924-01-01	6.54
1924-02-01	7.61
1924-03-01	10.26
1924-04-01	14.84
1924-05-01	20.73
1924-06-01	29.69
1924-07-01	31.63
1924-08-01	29.70
1924-09-01	16.56
1924-10-01	11.72
1924-11-01	8.23
1924-12-01	6.55
1925-01-01	7.46
1925-02-01	9.22
1925-03-01	12.49
1925-04-01	18.79
1925-05-01	24.09
1925-06-01	37.30
1925-07-01	35.72
1925-08-01	32.07
1925-09-01	24.85
1925-10-01	11.20
1925-11-01	9.24
1925-12-01	8.36
1926-01-01	8.58
1926-02-01	9.24
1926-03-01	12.22
1926-04-01	15.87
1926-05-01	26.53
1926-06-01	29.69
1926-07-01	39.09
1926-08-01	34.21
1926-09-01	21.74
1926-10-01	13.82
1926-11-01	9.86
1926-12-01	8.34
1927-01-01	8.49
1927-02-01	10.29
1927-03-01	13.94
1927-04-01	18.06
1927-05-01	25.07
1927-06-01	31.55
1927-07-01	38.10
1927-08-01	30.17
1927-09-01	25.74
1927-10-01	16.40
1927-11-01	11.42
1927-12-01	9.22
1928-01-01	9.58
1928-02-01	10.25
1928-03-01	14.06
1928-04-01	16.90
1928-05-01	26.68
1928-06-01	30.52
1928-07-01	39.86
1928-08-01	36.47
1928-09-01	21.41
1928-10-01	15.32
1928-11-01	10.87
1928-12-01	9.86
1929-01-01	9.56
1929-02-01	10.10
1929-03-01	15.80
1929-04-01	20.17
1929-05-01	27.35
1929-06-01	35.84
1929-07-01	41.67
1929-08-01	36.21
1929-09-01	25.06
1929-10-01	15.82
1929-11-01	12.27
1929-12-01	9.94
1930-01-01	9.98
1930-02-01	11.99
