№ Объекта	Нас. пункт	Район	Улица	Дом	Цена. т.р.	Ком.	О	Ж	К	Этаж	Этажность
10047_009	Новосибирск	Октябрьский	Татьяны Снежиной	39	2750	1	42.4	27	3	5	10
10047_010	Новосибирск	Октябрьский	Татьяны Снежиной	39	2750	1	42.4	27	3	5	10
10047_012	Новосибирск	Октябрьский	Кошурникова	22/2	2600	1	28	16	4	9	23
10047_221444	Новосибирск	Октябрьский	Виталия Потылицына	43649	3750	3	59.02	45.5	8.51	4	10
10047_555444	Новосибирск	Октябрьский	Виталия Потылицына	13	4000	3	59.02	45.5	8.51	2	10
10047_555777	Новосибирск	Октябрьский	Татьяны Снежиной	43	2500	1	42.6	16.6	12.2	8	10
10047_77787111	Новосибирск	Октябрьский	Татьяны Снежиной	31	2280	1	37	27	3	3	10
10047_9797	Новосибирск	Октябрьский	Лазурная	22	4050	4	77	49	9	7	10
1065_ВЫСОЦКОГО38	Новосибирск	Октябрьский	Высоцкого	38	2600	1	30	17	7	4	10
11291_2	Новосибирск	Октябрьский	Кирова	108	4150	1	47	22	12	14	17
11522_1	Новосибирск	Октябрьский	Пешеходная	5	2800	3	58.7	36.8	5.8	4	5
11522_108	Новосибирск	Октябрьский	Выборная	108	3100	2	48.3	30	8	5	9
11522_grn_5	Новосибирск	Октябрьский	Гаранина	5	3200	3	51	34	6	3	5
11522_kshr_226	Новосибирск	Октябрьский	Кошурникова	22/6	3800	1	41	15	14	4	22
11522_л_21_120	Новосибирск	Октябрьский	Лескова	21	11100	3	120	85	14	25	25
11669_170031	Новосибирск	Октябрьский	Тополевая	18	2830	3	63	45	7	2	2
11669_184578	Новосибирск	Октябрьский	Выборная	91/3	3150	1	46	20	13	4	18
11669_185217	Новосибирск	Октябрьский	Инская	67	6800	3	101	61	13	3	4
11669_196532	Новосибирск	Октябрьский	Выборная	91/4	4330	2	60	32	10	10	19
11669_198308	Новосибирск	Октябрьский	Грибоедова	13	2550	2	45	28.4	6	4	5
11669_198929	Новосибирск	Октябрьский	Татьяны Снежиной	27/2	3700	3	58	37	9	3	10
11669_205204	Новосибирск	Октябрьский	Большевистская	165	3300	3	59	39	6.7	4	5
11669_205778	Новосибирск	Октябрьский	Выборная	99/6	3450	1	44	20.8	11	2	7
11669_206543	Новосибирск	Октябрьский	Виталия Потылицына	11	4050	2	64	36	14	5	10
11669_206744	Новосибирск	Октябрьский	Татьяны Снежиной	49/3	3450	2	58	38	13	7	10
11669_208084	Новосибирск	Октябрьский	Выборная	117/1	2060	1	28.8	12.6	6.7	8	9
11669_210620	Новосибирск	Октябрьский	Кошурникова	22/2	3400	1	36.7	14.5	10.6	19	23
11669_211245	Новосибирск	Октябрьский	Высоцкого	51	5700	3	85	50	16.2	7	15
11669_211246	Новосибирск	Октябрьский	Вилюйская	11	3250	2	50.9	14	23	1	17
11669_211620	Новосибирск	Октябрьский	Бориса Богаткова	193/1	2350	1	29.7	16.3	6.4	9	9
11669_212623	Новосибирск	Октябрьский	Федосеева	12	2749	1	30	17	6	2	9
11669_213510	Новосибирск	Октябрьский	Закаменский мкр	15	4300	1	42.8	20	13.4	5	27
1343_rt6080_3_81630000220	Новосибирск	Октябрьский	Вилюйская	17	5850	2	64	33.2	12	2	15
1343_rt6080_3_81630000233	Новосибирск	Октябрьский	Высоцкого	41/5	2590	1	42	16.2	12.1	5	10
1343_rt6080_3_81780000242	Новосибирск	Октябрьский	Бориса Богаткова	181/1	3990	3	64	41	7	9	9
1343_rt6080_3_82660000081	Новосибирск	Октябрьский	Виталия Потылицына	13	3380	3	58.1	45.5	9	7	10
1403_1104941	Новосибирск	Октябрьский	Панфиловцев	9	1650	1	30.6	17.8	6	4	5
1403_157250	Новосибирск	Октябрьский	Кирова	27/2	17990	3	135	89	18	7	16
1403_180590	Новосибирск	Октябрьский	Татьяны Снежиной	25/1	3390	3	60	38	9	6	10
1403_860078	Новосибирск	Октябрьский	Автогенная	156/1	1800	2	44.3	29.6	5	2	2
14599_rt7333_3_102390000012	Новосибирск	Октябрьский	Кирова	336	2900	1	41.9	16.98	11.99	4	4
14599_rt7333_3_102390000030	Новосибирск	Октябрьский	Кирова	336	2883	1	43.68	18.14	12.64	3	4
14599_rt7333_3_102390000038	Новосибирск	Октябрьский	Кирова	338	3055	1	41.1	18.14	12.64	2	4
14599_rt7333_3_102390000080	Новосибирск	Октябрьский	Кирова	342	3010	1	43.4	18.14	12.64	2	4
14599_rt7333_3_102390000082	Новосибирск	Октябрьский	Кирова	342	3245	1	46.8	24.12	12.13	4	4
14599_rt7333_3_102390000085	Новосибирск	Октябрьский	Кирова	342	5635	2	84.3	31.05	33.82	1	4
14599_rt7333_3_102390000087	Новосибирск	Октябрьский	Кирова	342	6170	2	84.4	31.05	33.82	2	4
14599_rt7333_3_102390000089	Новосибирск	Октябрьский	Кирова	342	6155	2	84.2	31.05	33.82	3	4
14599_rt7333_3_102390000100	Новосибирск	Октябрьский	Кирова	342	2885	1	42.3	16.98	11.99	3	4
14599_rt7333_3_102390000123	Новосибирск	Октябрьский	Кирова	340	2910	1	42	16.98	12	4	4
14599_rt7333_3_102390000128	Новосибирск	Октябрьский	Кирова	340	3545	1	46.7	24.12	12.09	2	4
14599_rt7333_3_102390000131	Новосибирск	Октябрьский	Кирова	340	3560	1	46.9	24.12	12.13	2	4
14599_rt7333_3_102390000144	Новосибирск	Октябрьский	Кирова	336	3020	1	43.6	16.8	12.61	2	4
14599_rt7333_3_102390000153	Новосибирск	Октябрьский	Кирова	338	2910	1	42	16.98	11.99	3	4
14599_rt7333_3_102390000154	Новосибирск	Октябрьский	Кирова	338	2875	1	41.5	16.98	11.99	4	4
14599_rt7333_3_102390000173	Новосибирск	Октябрьский	Кирова	342	2883	1	43.8	18.14	12.64	4	4
14599_rt7333_3_102390000179	Новосибирск	Октябрьский	Кирова	344	2890	1	41.7	16.98	11.99	3	4
14599_rt7333_3_102390000182	Новосибирск	Октябрьский	Кирова	342	2749	1	41.65	16.98	11.99	3	4
14599_rt7333_3_102390000188	Новосибирск	Октябрьский	Кирова	342	7050	3	99.7	55.33	12	1	4
14599_rt7333_3_148080000008	Новосибирск	Октябрьский	Кирова	342	6120	2	83.7	31.05	33.82	4	4
14599_rt7333_3_148080000013	Новосибирск	Октябрьский	Кирова	336	3030	1	43.7	18.14	12	2	4
1631_2923	Новосибирск	Октябрьский	Высоцкого	54/1	1999	1	33	20	5	2	10
1631_2924	Новосибирск	Октябрьский	Высоцкого	41/2	2400	1	34	16	8	8	10
1631_2925	Новосибирск	Октябрьский	Большевистская	122	8500	3	83	45.8	11.4	5	10
1631_2927	Новосибирск	Октябрьский	Лазурная	22	4500	4	75	47.4	10	6	10
1631_2929	Новосибирск	Октябрьский	Выборная	125/1	4090	2	66.4	35.4	11.7	9	10
17_00021111886	Новосибирск	Октябрьский	Зыряновская	57	10500	3	150	70	25	11	13
17_000920419	Новосибирск	Октябрьский	Военная	9	5800	2	86	43	14	12	13
17_000931423	Новосибирск	Октябрьский	Чехова	111	4860	2	53	29	9	21	26
17_000937154	Новосибирск	Октябрьский	Инская	56	10550	3	133	98	17	3	5
17_000946953	Новосибирск	Октябрьский	Закаменский мкр	15	10500	4	108	62	10	22	25
17_000964255	Новосибирск	Октябрьский	Выборная	124/2	4350	2	87	45	19	2	6
17_00160000235	Новосибирск	Октябрьский	Татьяны Снежиной	31/1	1950	1	33	20	5	2	10
17_00187000086	Новосибирск	Октябрьский	Автогенная	73	4500	3	73	44	11	3	11
17_00187000091	Новосибирск	Октябрьский	Лазурная	28	3000	1	34	18	10	8	18
17_00222000152	Новосибирск	Октябрьский	Толстого	56	7950	3	75	30	27	20	25
17_00243000104	Новосибирск	Октябрьский	Добролюбова	211	1780	1	32	21	5	1	2
17_00243000107	Новосибирск	Октябрьский	Бориса Богаткова	226/1	3500	2	46	27	8	1	10
17_00313000022	Новосибирск	Октябрьский	Красносельская	43617	3930	2	57	33	9	15	18
17_00400000117	Новосибирск	Октябрьский	Виталия Потылицына	5	3000	2	59	31	12	9	10
17_00400000134	Новосибирск	Октябрьский	Грибоедова	75	2700	2	43	23	3	2	5
17_00404000137	Новосибирск	Октябрьский	1-я Родниковая	40	6470	3	120	50	30	2	3
17_00404000160	Новосибирск	Октябрьский	Кошурникова	22/2	3260	1	34	15	9	8	23
17_00404000183	Новосибирск	Октябрьский	Высоцкого	42/1	3300	2	53	32	9	2	7
17_00404000188	Новосибирск	Октябрьский	Лазурная	16	2400	1	42	18	9	7	10
17_00504000120	Новосибирск	Октябрьский	Федосеева	3	4100	3	84	56	9	1	9
17_00504000135	Новосибирск	Октябрьский	Никитина	138б	2750	3	58	35	6	5	5
17_00504000142	Новосибирск	Октябрьский	Татьяны Снежиной	31/4	3350	3	58	25	25	10	10
17_00504000143	Новосибирск	Октябрьский	Никитина	101	1880	2	47	28	9	2	2
17_00509000331	Новосибирск	Октябрьский	Обская 2-я	154	6200	2	63	31	19	11	20
17_00509000362	Новосибирск	Октябрьский	Ленинградская	149	3550	3	60	43	7	5	9
17_00509000365	Новосибирск	Октябрьский	Шевченко	11	16000	3	100	49	1	5	12
17_00509000368	Новосибирск	Октябрьский	Выборная	116	3300	2	44	28	7	7	9
17_00509000371	Новосибирск	Октябрьский	Нижегородская	27	4300	3	60	41	7	3	9
17_00509000377	Новосибирск	Октябрьский	Военная	16	4000	1	51	23	13	15	25
17_00509000383	Новосибирск	Октябрьский	Ленинградская	182	3400	3	60	43	7	8	9
17_00578000180	Новосибирск	Октябрьский	Владимира Заровного	38	8600	3	73	48	10	10	10
