Figure 1: StreetLight AADT 2020 for test data compared to permanent counter 2020 AADT (U.S.). No outliers were removed.
Correlation between StreetLight AADT 2020 Estimates and Permanent Counter AADT 2020 Values
x: Actual AADT 2020
y: StreetLight Estimated AADT 2020
R^2 = 0.9802
actual	estimated
272.809	217.935
178.372	196.553
27.0767	21.6445
29.8311	27.2528
164.797	155.192
99.6748	104.367
86.6898	93.1503
16.8461	18.4899
15.2722	15.3352
42.4227	35.6653
15.0754	13.2321
11.534	12.5311
107.938	116.284
60.7197	32.8611
21.7647	23.3971
135.285	150.635
17.0428	15.6857
10.3536	10.0774
9.76336	9.02584
8.18941	6.92275
47.1445	44.4283
29.4376	22.3456
60.9165	61.2531
58.5556	57.0469
11.3373	10.7785
8.5829	9.37643
90.8214	95.9545
24.3223	21.2941
7.20571	6.92275
29.0442	30.057
19.994	18.8404
14.0917	14.9847
14.0917	12.1805
22.5516	21.9951
76.4592	84.7378
8.38615	9.37643
23.7321	24.4487
26.093	31.1085
22.7484	17.0878
15.2722	16.0362
21.3712	25.1497
18.42	23.0466
60.7197	55.6449
23.7321	19.5414
178.569	172.367
25.5028	27.2528
80.1973	72.4697
195.489	183.233
4.05782	5.17018
5.8285	6.22176
14.2885	15.3352
21.7647	26.9024
40.652	45.1293
18.8135	24.0981
12.321	12.5311
9.76336	10.7785
28.4539	27.9539
37.5041	36.3663
37.8976	43.7272
19.0103	19.5414
44.1933	42.3251
20.9777	19.892
15.8624	16.3868
8.38615	8.32485
4.05782	4.46913
70.7536	68.614
19.994	18.8404
14.2885	11.129
5.43502	5.17018
66.8188	60.2016
142.762	149.233
67.409	65.1089
22.3549	17.4383
64.2611	68.614
64.2611	67.9129
123.284	123.996
55.2109	55.6449
71.1471	64.0573
79.8038	74.2223
43.2096	48.6345
15.2722	13.5826
13.3047	10.7785
34.553	37.4179
9.36988	10.7785
80.5908	72.1192
14.4852	15.6857
70.1634	74.9233
13.3047	18.8404
35.3399	35.3147
14.2885	15.6857
24.1256	26.5518
57.3751	60.5521
28.0604	29.0054
24.9126	24.7992
36.5204	34.6137
133.908	119.79
25.5028	23.7477
27.4702	26.5518
114.627	114.181
97.9041	91.3978
6.02525	5.87117
14.4852	13.9331
14.0917	13.9331
36.5204	34.6137
26.4865	26.2013
27.667	26.9024
34.1595	35.6653
25.1093	28.3044
5.04153	5.52071
22.3549	23.7477
14.2885	14.6341
83.9354	91.0472
51.6696	54.5933
142.171	159.398
11.3373	12.8816
72.3276	101.563
98.4944	117.687
111.086	134.161
118.365	113.48
10.3536	9.72689
8.18941	7.6238
237.788	182.883
7.40244	7.6238
125.251	167.11
110.102	91.0472
24.9126	24.7992
122.103	129.955
58.5556	71.4182
40.2585	40.5726
23.5354	22.6961
106.167	112.429
16.0591	13.5826
18.0266	16.7373
14.2885	13.9331
17.8298	18.8404
17.0428	18.4899
7.20571	7.97433
16.4526	18.1394
12.321	10.7785
9.9601	10.7785
8.38615	9.02584
33.5692	29.0054
8.97639	8.32485
7.59919	7.27327
18.6168	14.6341
7.99267	7.97433
26.4865	28.3044
25.5028	24.7992
34.3562	30.4075
41.0455	37.4179
34.7497	32.1601
28.8474	27.6033
15.4689	16.7373
14.6819	14.9847
23.5354	20.593
