	Date	Swiss_franc	
	03-Jan-2019	0.9895 	
	04-Jan-2019	0.9871 	
	07-Jan-2019	0.98185 	
	08-Jan-2019	0.97945 	
	09-Jan-2019	0.9808 	
	10-Jan-2019	0.977 	
	11-Jan-2019	0.9832 	
	14-Jan-2019	0.9816 	
	15-Jan-2019	0.9863 	
	16-Jan-2019	0.99015 	
	17-Jan-2019	0.99225 	
	18-Jan-2019	0.99355 	
	22-Jan-2019	0.9963 	
	23-Jan-2019	0.99755 	
	24-Jan-2019	0.99535 	
	25-Jan-2019	0.99655 	
	28-Jan-2019	0.99255 	
	29-Jan-2019	0.9931 	
	30-Jan-2019	0.99705 	
	31-Jan-2019	0.993 	
	01-Feb-2019	0.993 	
	04-Feb-2019	0.99715 	
	05-Feb-2019	1.00125 	
	06-Feb-2019	1.00075 	
	07-Feb-2019	1.00275 	
	08-Feb-2019	1.0015 	
	11-Feb-2019	1.0029 	
	12-Feb-2019	1.00835 	
	13-Feb-2019	1.0048 	
	14-Feb-2019	1.0087 	
	15-Feb-2019	1.0062 	
	19-Feb-2019	1.0055 	
	20-Feb-2019	1.00095 	
	21-Feb-2019	1.001 	
	22-Feb-2019	1.0006 	
	25-Feb-2019	0.9988 	
	26-Feb-2019	1.00055 	
	27-Feb-2019	0.99655 	
	28-Feb-2019	0.99325 	
	01-Mar-2019	0.9982 	
	04-Mar-2019	1.00125 	
	05-Mar-2019	1.00055 	
	06-Mar-2019	1.005 	
	07-Mar-2019	1.00455 	
	08-Mar-2019	1.01005 	
	11-Mar-2019	1.0092 	
	12-Mar-2019	1.00985 	
	13-Mar-2019	1.006 	
	14-Mar-2019	1.00465 	
	15-Mar-2019	1.00395 	
	18-Mar-2019	1.00015 	
	19-Mar-2019	0.99995 	
	20-Mar-2019	0.99885 	
	21-Mar-2019	0.9935 	
	22-Mar-2019	0.99475 	
	25-Mar-2019	0.99385 	
	26-Mar-2019	0.9934 	
	27-Mar-2019	0.99355 	
	28-Mar-2019	0.99605 	
	29-Mar-2019	0.9959 	
	01-Apr-2019	0.9952 	
	02-Apr-2019	0.99985 	
	03-Apr-2019	0.99705 	
	04-Apr-2019	0.99855 	
	05-Apr-2019	1.00055 	
	08-Apr-2019	0.9996 	
	09-Apr-2019	0.99925 	
	10-Apr-2019	1.00055 	
	11-Apr-2019	1.00165 	
	12-Apr-2019	1.0007 	
	15-Apr-2019	1.00285 	
	16-Apr-2019	1.00585 	
	17-Apr-2019	1.00875 	
	18-Apr-2019	1.01115 	
	23-Apr-2019	1.01935 	
	24-Apr-2019	1.0186 	
	25-Apr-2019	1.02225 	
	26-Apr-2019	1.0213 	
	29-Apr-2019	1.0199 	
	30-Apr-2019	1.0192 	
	02-May-2019	1.01925 	
	03-May-2019	1.02035 	
	06-May-2019	1.01875 	
	07-May-2019	1.01935 	
	08-May-2019	1.0171 	
	09-May-2019	1.01915 	
	10-May-2019	1.01335 	
	13-May-2019	1.00795 	
	14-May-2019	1.00795 	
	15-May-2019	1.00735 	
	16-May-2019	1.00895 	
	17-May-2019	1.01045 	
	20-May-2019	1.0098 	
	21-May-2019	1.01035 	
	22-May-2019	1.00975 	
	23-May-2019	1.0086 	
	24-May-2019	1.0027 	
	28-May-2019	1.00395 	
	29-May-2019	1.00635 	
	31-May-2019	1.00495 	
	03-Jun-2019	0.99895 	
	04-Jun-2019	0.99295 	
	05-Jun-2019	0.99175 	
	06-Jun-2019	0.99545 	
	07-Jun-2019	0.9942 	
	11-Jun-2019	0.992 	
	12-Jun-2019	0.9933 	
	13-Jun-2019	0.99315 	
	14-Jun-2019	0.99535 	
	17-Jun-2019	0.99895 	
	18-Jun-2019	0.99885 	
	19-Jun-2019	0.99725 	
	20-Jun-2019	0.9859 	
	21-Jun-2019	0.98255 	
	24-Jun-2019	0.97505 	
	25-Jun-2019	0.97615 	
	26-Jun-2019	0.9771 	
	27-Jun-2019	0.9769 	
	28-Jun-2019	0.9749 	
	01-Jul-2019	0.98235 	
	02-Jul-2019	0.98815 	
	03-Jul-2019	0.98435 	
	05-Jul-2019	0.98775 	
	08-Jul-2019	0.9919 	
	09-Jul-2019	0.99455 	
	10-Jul-2019	0.99175 	
	11-Jul-2019	0.986 	
	12-Jul-2019	0.98665 	
	15-Jul-2019	0.98245 	
	16-Jul-2019	0.98615 	
	17-Jul-2019	0.98985 	
